Nivel                N=0                  N=1                 
0                    1                    1                   
1                    3                    3                   
2                    15                   15                  
3                    75                   69                  
4                    393                  327                 
5                    2109                 1593                
6                    11487                7863                
7                    63375                39333               
8                    352755               198591              
9                    1978341              1010517             
10                   11161197             5174019             
11                   63287061             26630877            
12                   360382215            137672583           
