Nivel                N=0                  N=1                  N=2                 
0                    1                    1                    1                   
1                    2                    2                    2                   
2                    6                    4                    4                   
3                    18                   10                   10                  
4                    58                   24                   24                  
5                    186                  54                   54                  
6                    602                  108                  108                 
7                    1946                 218                  218                 
8                    6298                 472                  472                 
9                    20378                1030                 1030                
10                   65946                2204                 2204                
11                   213402               4666                 4666                
12                   690586               9880                 9880                
13                   2234778              21046                21046               
14                   7231898              44972                44972               
15                   23402906             95930                95930               
16                   75733402             204216               204216              
17                   245078426            434694               434694              
18                   793090458            925980               925980              
19                   2566494618           1973338              1973338             
20                   8305351066           4204856              4204856             
