Depth                Moves                BranchingFactor     
0                    1                    2.00000000000000000000
1                    2                    3.00000000000000000000
2                    6                    3.00000000000000000000
3                    18                   3.22222222222222222222
4                    58                   3.20689655172413793103
5                    186                  3.23655913978494623655
6                    602                  3.23255813953488372093
7                    1946                 3.23638232271325796505
8                    6298                 3.23563035884407748491
9                    20378                3.23613701050152124840
10                   65946                3.23601128195796560822
11                   213402               3.23608026166577632824
12                   690586               3.23606038929257181582
13                   2234778              3.23606998100034992290
14                   7231898              3.23606693567857290022
15                   23402906             3.23606828998073999869
16                   75733402             3.23606783173427228318
17                   245078426            3.23606802501661243735
18                   793090458            3.23606795682819827848
19                   2566494618           3.23606798461636205153
20                   8305351066           3.23606798461636205153
Branching Factor Empírico (Promedio): 3.14835073415482342168
3.14835073415482342168
