algorithm, domain, instance, cost, generated, time, gen_per_sec 
dfid , 11puzzle , "4 3 2 6 1 8 B 5 7 9 10 11", 10, 4551, 0.000275, 1.65491e+07
dfid , 11puzzle , "3 1 4 5 B 2 6 7 8 9 10 11", 8, 1006, 8.5e-05, 1.18353e+07
dfid , 11puzzle , "3 1 2 6 7 11 8 4 10 9 B 5", 18, 562334, 0.020012, 2.80998e+07
dfid , 11puzzle , "4 3 2 1 7 5 10 9 8 6 B 11", 12, 15694, 0.000835, 1.87952e+07
dfid , 11puzzle , "3 1 4 6 5 2 B 7 8 9 10 11", 8, 1167, 9.1e-05, 1.28242e+07
dfid , 11puzzle , "3 5 2 1 9 11 10 4 B 6 8 7", 34, 19594039039, 410.047, 4.77848e+07
dfid , 11puzzle , "1 2 B 3 6 4 7 8 5 9 10 11", 10, 2087, 0.000143, 1.45944e+07
dfid , 11puzzle , "3 5 1 4 7 2 6 10 8 9 B 11", 8, 1204, 9.4e-05, 1.28085e+07
dfid , 11puzzle , "1 4 B 3 7 2 9 6 5 10 11 8", 10, 3900, 0.000234, 1.66667e+07
dfid , 11puzzle , "1 2 B 3 4 5 9 11 8 7 6 10", 14, 54010, 0.002826, 1.91118e+07
dfid , 11puzzle , "B 2 3 1 6 5 11 7 4 9 8 10", 24, 34675694, 0.731524, 4.7402e+07
dfid , 11puzzle , "3 1 B 6 5 2 10 4 8 7 9 11", 10, 3470, 0.000213, 1.62911e+07
dfid , 11puzzle , "3 1 2 6 8 4 9 7 5 10 B 11", 10, 3087, 0.000193, 1.59948e+07
dfid , 11puzzle , "B 3 2 6 1 4 9 7 5 10 11 8", 10, 2495, 0.000162, 1.54012e+07
dfid , 11puzzle , "1 4 2 3 7 5 10 8 11 6 B 9", 10, 2518, 0.000165, 1.52606e+07
dfid , 11puzzle , "2 3 B 6 8 5 9 11 4 7 1 10", 28, 449879498, 9.27501, 4.85045e+07
dfid , 11puzzle , "3 2 5 6 4 10 1 7 8 9 B 11", 20, 1792207, 0.040034, 4.47671e+07
dfid , 11puzzle , "B 4 1 5 2 8 3 7 11 6 9 10", 18, 759654, 0.030594, 2.48302e+07
dfid , 11puzzle , "B 3 2 4 1 5 6 7 8 9 10 11", 4, 34, 1e-05, 3.4e+06
dfid , 11puzzle , "B 7 2 1 3 8 4 5 6 9 10 11", 14, 46549, 0.002446, 1.90307e+07
dfid , 11puzzle , "1 4 2 3 7 5 6 8 11 9 B 10", 6, 173, 3e-05, 5.76667e+06
dfid , 11puzzle , "2 4 3 1 7 5 B 6 8 9 10 11", 14, 47118, 0.002488, 1.89381e+07
dfid , 11puzzle , "3 1 2 6 4 5 B 9 11 10 8 7", 10, 3577, 0.000219, 1.63333e+07
dfid , 11puzzle , "6 3 4 10 1 2 9 7 5 11 B 8", 20, 2536373, 0.06498, 3.90331e+07
dfid , 11puzzle , "7 8 1 3 B 2 4 6 5 9 10 11", 14, 69278, 0.003568, 1.94165e+07
dfid , 11puzzle , "3 5 4 6 2 1 7 10 8 9 B 11", 16, 201927, 0.006043, 3.3415e+07
dfid , 11puzzle , "3 1 2 10 4 8 5 7 11 6 B 9", 16, 129573, 0.006731, 1.92502e+07
dfid , 11puzzle , "3 1 5 2 7 4 6 10 8 9 B 11", 10, 4430, 0.000257, 1.72374e+07
dfid , 11puzzle , "3 1 2 6 4 5 7 10 8 9 B 11", 4, 59, 1.5e-05, 3.93333e+06
dfid , 11puzzle , "3 1 2 4 7 5 B 6 10 9 11 8", 8, 769, 7.2e-05, 1.06806e+07
