algorithm, domain, instance, cost, generated, time, gen_per_sec 
dfid , pancake16 ,  "15 7 1 8 10 9 11 4 0 5 2 3 14 12 6 13" ,NA, NA, NA, NA
dfid , pancake16 ,  "9 6 2 0 15 7 13 12 3 8 11 4 1 5 14 10" ,NA, NA, NA, NA
dfid , pancake16 ,  "1 12 13 9 7 6 15 14 0 2 3 4 5 11 10 8 ", 9, 13689660691, 193.461, 7.0762e+07
dfid , pancake16 ,  "3 4 5 6 7 8 9 10 11 12 15 14 13 0 1 2 ", 4, 36294, 0.000552, 6.575e+07
dfid , pancake16 ,  "4 3 12 11 10 0 9 2 5 1 8 7 6 13 14 15 ", 9, 11873685620, 183.022, 6.48756e+07
dfid , pancake16 ,  "1 13 0 2 9 12 11 8 14 15 4 5 6 7 3 10" ,NA, NA, NA, NA
dfid , pancake16 ,  "14 3 0 10 1 9 8 7 2 5 4 15 12 13 6 11" ,NA, NA, NA, NA
dfid , pancake16 ,  "11 12 14 13 10 9 8 0 1 2 3 4 5 6 7 15 ", 4, 9488, 0.000157, 6.04331e+07
dfid , pancake16 ,  "14 15 13 10 9 8 11 12 7 6 5 4 3 2 1 0 ", 6, 883320, 0.011409, 7.74231e+07
dfid , pancake16 ,  "13 12 11 10 9 8 7 6 5 4 3 2 1 0 14 15 ", 1, 13, 2e-06, 6.5e+06
dfid , pancake16 ,  "4 8 6 2 3 0 13 14 7 9 11 1 12 5 15 10" ,NA, NA, NA, NA
dfid , pancake16 ,  "5 0 1 2 3 4 12 13 14 15 6 7 8 9 10 11 ", 4, 29921, 0.00068, 4.40015e+07
dfid , pancake16 ,  "1 0 8 9 10 7 11 2 3 12 13 14 4 5 6 15 ", 7, 53672425, 0.841957, 6.37472e+07
dfid , pancake16 ,  "4 5 3 2 1 0 6 7 8 9 10 11 12 13 14 15 ", 2, 20, 2e-06, 1e+07
dfid , pancake16 ,  "9 10 8 7 6 3 2 1 0 4 5 11 12 13 14 15 ", 4, 5157, 0.000121, 4.26198e+07
dfid , pancake16 ,  "5 4 3 2 1 0 6 7 8 9 12 11 10 13 14 15 ", 4, 17344, 0.000427, 4.06183e+07
dfid , pancake16 ,  "15 0 1 3 2 5 6 12 11 10 9 8 7 4 14 13 ", 9, 6664639752, 92.7239, 7.18762e+07
dfid , pancake16 ,  "6 7 12 11 10 9 8 5 4 3 2 1 0 13 14 15 ", 3, 1352, 2.9e-05, 4.66207e+07
dfid , pancake16 ,  "3 1 0 6 5 4 2 7 8 9 10 11 12 13 14 15 ", 5, 216665, 0.0028, 7.73804e+07
dfid , pancake16 ,  "7 8 9 10 6 5 4 3 0 1 2 11 12 13 14 15 ", 3, 785, 2.1e-05, 3.7381e+07
dfid , pancake16 ,  "15 3 4 5 6 7 8 2 1 0 10 11 12 13 14 9 ", 6, 4073044, 0.05404, 7.53709e+07
