grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
1, dfid , 11puzzle , "4 3 2 6 1 8 B 5 7 9 10 11", 10, 3362, 6.23009e-005, 5.39639e+007
1, dfid , 11puzzle , "3 1 4 5 B 2 6 7 8 9 10 11", 8, 764, 2.26549e-005, 3.37234e+007
1, dfid , 11puzzle , "3 1 2 6 7 11 8 4 10 9 B 5", 18, 301647, 0.00469334, 6.42713e+007
1, dfid , 11puzzle , "4 3 2 1 7 5 10 9 8 6 B 11", 12, 10958, 0.000173687, 6.30903e+007
1, dfid , 11puzzle , "3 1 4 6 5 2 B 7 8 9 10 11", 8, 951, 2.83186e-005, 3.35822e+007
1, dfid , 11puzzle , "3 5 2 1 9 11 10 4 B 6 8 7", 34, 5754549409, 88.3625, 6.51243e+007
1, dfid , 11puzzle , "1 2 B 3 6 4 7 8 5 9 10 11", 16, 60270, 0.000936402, 6.43634e+007
1, dfid , 11puzzle , "3 5 1 4 7 2 6 10 8 9 B 11", 8, 1029, 4.00236e-005, 2.57098e+007
1, dfid , 11puzzle , "1 4 B 3 7 2 9 6 5 10 11 8", 18, 331338, 0.00489308, 6.77157e+007
1, dfid , 11puzzle , "1 2 B 3 4 5 9 11 8 7 6 10", 14, 29588, 0.000442903, 6.68047e+007
1, dfid , 11puzzle , "B 2 3 1 6 5 11 7 4 9 8 10", 30, 236526994, 3.57005, 6.62531e+007
1, dfid , 11puzzle , "3 1 B 6 5 2 10 4 8 7 9 11", 10, 2230, 4.64425e-005, 4.80163e+007
1, dfid , 11puzzle , "3 1 2 6 8 4 9 7 5 10 B 11", 10, 2446, 4.8708e-005, 5.02176e+007
1, dfid , 11puzzle , "B 3 2 6 1 4 9 7 5 10 11 8", 18, 148388, 0.00216316, 6.85977e+007
1, dfid , 11puzzle , "1 4 2 3 7 5 10 8 11 6 B 9", 10, 2012, 4.53098e-005, 4.44054e+007
1, dfid , 11puzzle , "2 3 B 6 8 5 9 11 4 7 1 10", 28, 146406213, 2.25383, 6.49587e+007
1, dfid , 11puzzle , "3 2 5 6 4 10 1 7 8 9 B 11", 24, 9776988, 0.151532, 6.45209e+007
1, dfid , 11puzzle , "B 4 1 5 2 8 3 7 11 6 9 10", 22, 1232304, 0.0192098, 6.41496e+007
1, dfid , 11puzzle , "B 3 2 4 1 5 6 7 8 9 10 11", 4, 22, 3.39823e-006, 6.47395e+006
1, dfid , 11puzzle , "B 7 2 1 3 8 4 5 6 9 10 11", 16, 46477, 0.00074157, 6.26738e+007
1, dfid , 11puzzle , "1 4 2 3 7 5 6 8 11 9 B 10", 6, 163, 9.43954e-006, 1.72678e+007
1, dfid , 11puzzle , "2 4 3 1 7 5 B 6 8 9 10 11", 18, 305643, 0.004369, 6.99573e+007
1, dfid , 11puzzle , "3 1 2 6 4 5 B 9 11 10 8 7", 10, 2642, 5.3239e-005, 4.96253e+007
1, dfid , 11puzzle , "6 3 4 10 1 2 9 7 5 11 B 8", 26, 46530387, 0.70593, 6.59136e+007
1, dfid , 11puzzle , "7 8 1 3 B 2 4 6 5 9 10 11", 20, 1191961, 0.0177082, 6.73113e+007
1, dfid , 11puzzle , "3 5 4 6 2 1 7 10 8 9 B 11", 16, 114524, 0.00168552, 6.79456e+007
1, dfid , 11puzzle , "3 1 2 10 4 8 5 7 11 6 B 9", 16, 76231, 0.00115842, 6.5806e+007
1, dfid , 11puzzle , "3 1 5 2 7 4 6 10 8 9 B 11", 10, 3406, 6.38113e-005, 5.33762e+007
1, dfid , 11puzzle , "3 1 2 6 4 5 7 10 8 9 B 11", 4, 56, 4.53098e-006, 1.23594e+007
1, dfid , 11puzzle , "3 1 2 4 7 5 B 6 10 9 11 8", 12, 8926, 0.000149522, 5.96968e+007
1, dfid , 11puzzle , "3 2 5 4 1 8 6 7 11 9 B 10", 8, 677, 2.00118e-005, 3.383e+007
1, dfid , 11puzzle , "3 2 B 4 1 5 6 7 8 9 10 11", 4, 29, 3.39823e-006, 8.53385e+006
1, dfid , 11puzzle , "1 5 4 7 B 2 3 6 10 9 11 8", 18, 391102, 0.00677155, 5.77567e+007
1, dfid , 11puzzle , "1 7 B 3 6 2 11 8 9 4 5 10", na, na, na, na
1, dfid , 11puzzle , "3 1 4 6 B 7 9 5 2 10 8 11", 16, 101080, 0.00153978, 6.56459e+007
1, dfid , 11puzzle , "3 1 2 6 4 5 9 7 B 11 8 10", 20, 1114537, 0.0164003, 6.79585e+007
1, dfid , 11puzzle , "1 2 B 3 4 11 7 8 5 6 9 10", 16, 66544, 0.00102815, 6.47218e+007
1, dfid , 11puzzle , "3 1 2 8 B 4 6 10 9 5 7 11", 24, 15288545, 0.229435, 6.66356e+007
1, dfid , 11puzzle , "3 1 B 6 8 2 5 4 10 9 11 7", 18, 287221, 0.00422589, 6.7967e+007
1, dfid , 11puzzle , "1 5 B 3 2 8 6 4 11 9 7 10", 10, 1844, 3.96461e-005, 4.65116e+007
1, dfid , 11puzzle , "4 1 3 10 2 5 7 8 11 6 B 9", 22, 3351545, 0.0500182, 6.70065e+007
1, dfid , 11puzzle , "B 4 2 1 8 3 6 10 7 11 9 5", 36, 6274464471, 95.2225, 6.58927e+007
1, dfid , 11puzzle , "B 4 5 1 6 7 3 10 2 9 11 8", 32, 644974832, 9.66934, 6.67031e+007
1, dfid , 11puzzle , "1 5 B 6 2 8 3 4 11 7 9 10", 18, 234762, 0.00345676, 6.79139e+007
