grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
2, dfid, 11puzzle , "15 7 1 8 10 9 11 4 0 5 2 3 14 12 6 13", na, na, na, na
2, dfid, 11puzzle , "9 6 2 0 15 7 13 12 3 8 11 4 1 5 14 10", na, na, na, na
2, dfid, 11puzzle , "1 12 13 9 7 6 15 14 0 2 3 4 5 11 10 8", na, na, na, na
2, dfid, 11puzzle , "3 4 5 6 7 8 9 10 11 12 15 14 13 0 1 2", 4, 36294, 0.003149, 1.15256e+07
2, dfid, 11puzzle , "4 3 12 11 10 0 9 2 5 1 8 7 6 13 14 15", na, na, na, na
2, dfid, 11puzzle , "1 13 0 2 9 12 11 8 14 15 4 5 6 7 3 10", na, na, na, na
2, dfid, 11puzzle , "14 3 0 10 1 9 8 7 2 5 4 15 12 13 6 11", na, na, na, na
2, dfid, 11puzzle , "11 12 14 13 10 9 8 0 1 2 3 4 5 6 7 15", 4, 9488, 0.000932, 1.01803e+07
2, dfid, 11puzzle , "14 15 13 10 9 8 11 12 7 6 5 4 3 2 1 0", 6, 883320, 0.029748, 2.96934e+07
2, dfid, 11puzzle , "13 12 11 10 9 8 7 6 5 4 3 2 1 0 14 15", 1, 13, 7e-06, 1.85714e+06
2, dfid, 11puzzle , "4 8 6 2 3 0 13 14 7 9 11 1 12 5 15 10", na, na, na, na
2, dfid, 11puzzle , "5 0 1 2 3 4 12 13 14 15 6 7 8 9 10 11", 4, 29921, 0.002411, 1.24102e+07
2, dfid, 11puzzle , "1 0 8 9 10 7 11 2 3 12 13 14 4 5 6 15", 7, 53672425, 1.41477, 3.79373e+07
2, dfid, 11puzzle , "4 5 3 2 1 0 6 7 8 9 10 11 12 13 14 15", 2, 20, 8e-06, 2.5e+06
2, dfid, 11puzzle , "9 10 8 7 6 3 2 1 0 4 5 11 12 13 14 15", 4, 5157, 0.000255, 2.02235e+07
2, dfid, 11puzzle , "5 4 3 2 1 0 6 7 8 9 12 11 10 13 14 15", 4, 17344, 0.000856, 2.02617e+07
2, dfid, 11puzzle , "15 0 1 3 2 5 6 12 11 10 9 8 7 4 14 13", na, na, na, na
2, dfid, 11puzzle , "6 7 12 11 10 9 8 5 4 3 2 1 0 13 14 15", 3, 1352, 0.000141, 9.58865e+06
2, dfid, 11puzzle , "3 1 0 6 5 4 2 7 8 9 10 11 12 13 14 15", 5, 216665, 0.007042, 3.07675e+07
2, dfid, 11puzzle , "7 8 9 10 6 5 4 3 0 1 2 11 12 13 14 15", 3, 785, 4.4e-05, 1.78409e+07
2, dfid, 11puzzle , "15 3 4 5 6 7 8 2 1 0 10 11 12 13 14 9", 6, 4073044, 0.116868, 3.48517e+07
2, dfid, 11puzzle , "2 3 4 11 14 10 7 0 5 1 13 12 8 9 6 15", na, na, na, na
2, dfid, 11puzzle , "9 8 7 6 5 10 3 2 1 0 11 14 13 12 4 15", 6, 2860863, 0.087924, 3.25379e+07
2, dfid, 11puzzle , "10 9 4 14 15 3 0 7 12 6 1 8 11 13 5 2", na, na, na, na
2, dfid, 11puzzle , "2 1 0 14 3 4 5 6 7 8 9 10 11 12 13 15", 3, 856, 9.7e-05, 8.82474e+06
2, dfid, 11puzzle , "4 3 1 2 0 12 5 6 7 8 11 13 14 10 9 15", na, na, na, na
2, dfid, 11puzzle , "3 7 6 5 14 0 1 2 4 8 9 10 13 12 11 15", 7, 61044656, 1.61421, 3.78171e+07
2, dfid, 11puzzle , "6 7 5 4 3 2 1 0 8 9 10 11 12 13 14 15", 2, 22, 8e-06, 2.75e+06
2, dfid, 11puzzle , "0 5 1 8 3 4 15 2 6 12 14 10 11 9 7 13", na, na, na, na
2, dfid, 11puzzle , "10 9 6 0 1 5 7 8 4 3 2 11 12 13 14 15", 6, 6041834, 0.170772, 3.53795e+07
2, dfid, 11puzzle , "15 14 13 12 11 10 9 8 7 6 5 4 3 0 1 2", 2, 228, 3.4e-05, 6.70588e+06
2, dfid, 11puzzle , "1 2 3 4 5 6 7 8 9 10 11 12 13 0 14 15", 2, 193, 1e-05, 1.93e+07
2, dfid, 11puzzle , "7 11 12 13 14 10 9 8 6 5 4 3 2 1 0 15", 4, 22214, 0.000598, 3.71472e+07
2, dfid, 11puzzle , "3 12 0 8 7 9 11 10 13 6 5 15 14 2 1 4", na, na, na, na
2, dfid, 11puzzle , "1 0 8 7 6 5 4 3 2 9 10 11 12 13 14 15", 4, 4754, 0.000467, 1.01799e+07
2, dfid, 11puzzle , "10 0 1 9 14 3 2 12 8 7 13 15 6 5 4 11", na, na, na, na
2, dfid, 11puzzle , "3 4 5 6 7 1 12 11 8 9 2 0 10 13 14 15", 8, 1038386712, 28.6647, 3.62253e+07
2, dfid, 11puzzle , "12 13 14 11 10 9 8 7 6 5 4 3 2 1 0 15", 2, 44, 1.2e-05, 3.66667e+06
2, dfid, 11puzzle , "0 1 2 3 9 8 10 11 12 13 14 15 4 5 6 7", 6, 2233992, 0.066708, 3.34891e+07
2, dfid, 11puzzle , "12 7 9 13 14 10 11 15 3 0 4 6 5 2 1 8", na, na, na, na
2, dfid, 11puzzle , "7 10 0 3 8 9 13 12 1 2 6 11 14 15 5 4", na, na, na, na
2, dfid, 11puzzle , "9 10 11 12 2 1 8 0 4 5 6 3 7 13 14 15", 8, 440329438, 11.7243, 3.7557e+07
2, dfid, 11puzzle , "14 13 3 0 7 9 2 6 10 8 4 15 1 12 11 5", na, na, na, na
2, dfid, 11puzzle , "7 2 1 13 15 14 8 5 0 3 10 6 11 12 4 9", na, na, na, na
2, dfid, 11puzzle , "3 8 9 6 11 4 14 0 1 7 15 2 10 5 12 13", na, na, na, na
2, dfid, 11puzzle , "7 6 5 4 3 2 8 9 10 11 12 13 1 0 14 15", 3, 1232, 4e-05, 3.08e+07
2, dfid, 11puzzle , "11 10 1 2 3 12 15 13 4 5 6 7 8 9 0 14", na, na, na, na
2, dfid, 11puzzle , "3 2 1 0 6 7 8 9 10 11 12 13 4 5 14 15", 3, 2521, 7.8e-05, 3.23205e+07
2, dfid, 11puzzle , "13 4 15 6 7 12 10 3 5 1 9 2 11 14 0 8", na, na, na, na
2, dfid, 11puzzle , "14 7 0 5 13 4 10 15 12 6 2 8 3 9 11 1", na, na, na, na
2, dfid, 11puzzle , "0 1 2 6 5 4 3 7 8 9 10 11 12 13 14 15", 3, 1331, 4.2e-05, 3.16905e+07
2, dfid, 11puzzle , "12 3 2 1 0 6 7 8 9 4 11 10 5 13 14 15", 6, 7098681, 0.191326, 3.71025e+07
2, dfid, 11puzzle , "14 12 10 15 13 5 4 3 6 11 8 7 0 1 2 9", na, na, na, na
2, dfid, 11puzzle , "6 7 8 9 10 12 13 3 2 11 14 15 5 4 1 0", 8, 525566949, 14.0848, 3.73146e+07
2, dfid, 11puzzle , "13 12 6 10 7 9 4 1 2 15 8 11 0 5 3 14", na, na, na, na
2, dfid, 11puzzle , "3 2 1 0 4 5 11 10 9 8 7 6 12 13 14 15", 4, 11269, 0.00038, 2.96553e+07
2, dfid, 11puzzle , "7 6 5 4 3 1 0 2 8 9 10 11 12 13 14 15", 3, 1523, 5.5e-05, 2.76909e+07
2, dfid, 11puzzle , "10 9 8 7 6 5 4 3 11 2 0 1 12 13 14 15", 4, 22518, 0.000728, 3.09313e+07
2, dfid, 11puzzle , "12 3 10 9 14 2 5 8 11 1 7 6 13 0 4 15", na, na, na, na
2, dfid, 11puzzle , "4 1 2 3 9 8 7 13 0 12 10 11 14 15 5 6", na, na, na, na
2, dfid, 11puzzle , "5 7 8 0 9 15 14 13 12 11 10 6 1 2 3 4", 8, 257180972, 6.81572, 3.77335e+07
2, dfid, 11puzzle , "3 4 13 12 11 10 9 8 7 6 5 0 1 2 14 15", 4, 31622, 0.00102, 3.1002e+07
2, dfid, 11puzzle , "12 13 14 11 10 9 8 7 6 5 4 3 2 1 0 15", 2, 44, 1.1e-05, 4e+06
2, dfid, 11puzzle , "6 3 2 1 0 7 8 9 10 11 12 13 14 15 5 4", 4, 41603, 0.00119, 3.49605e+07
2, dfid, 11puzzle , "15 14 13 9 10 8 7 6 5 4 3 2 1 0 11 12", 4, 47078, 0.002835, 1.6606e+07
2, dfid, 11puzzle , "12 9 10 5 6 4 1 0 2 11 13 7 8 3 14 15", na, na, na, na
2, dfid, 11puzzle , "11 10 9 8 7 6 5 12 13 15 14 4 3 2 1 0", 4, 19864, 0.001942, 1.02286e+07
2, dfid, 11puzzle , "5 4 2 13 11 14 15 10 9 3 6 8 1 12 0 7", na, na, na, na
2, dfid, 11puzzle , "4 3 2 1 0 5 13 12 11 10 9 8 7 6 14 15", 4, 14677, 0.001603, 9.15596e+06
2, dfid, 11puzzle , "6 5 4 3 0 1 2 7 8 9 10 11 12 13 14 15", 2, 93, 1.1e-05, 8.45455e+06
2, dfid, 11puzzle , "2 3 6 4 14 12 13 10 5 15 1 7 0 8 9 11", na, na, na, na
2, dfid, 11puzzle , "4 5 6 3 2 1 0 14 9 10 11 12 13 8 7 15", 6, 1486581, 0.047824, 3.10844e+07
2, dfid, 11puzzle , "6 7 8 9 10 11 12 13 14 5 4 3 0 1 2 15", 3, 1900, 0.00019, 1e+07
2, dfid, 11puzzle , "4 3 11 1 7 6 5 0 12 13 2 14 10 9 8 15", na, na, na, na
2, dfid, 11puzzle , "7 15 14 1 0 8 9 10 11 5 6 12 2 4 3 13", na, na, na, na
2, dfid, 11puzzle , "0 3 12 13 14 11 10 9 8 7 6 5 4 2 1 15", 6, 2922199, 0.078581, 3.71871e+07
2, dfid, 11puzzle , "7 6 5 4 13 14 15 3 9 10 11 8 12 0 2 1", na, na, na, na
