 dfid , topSpinCompact16_4 , "10 1 12 3 7 13 6 2 8 14 11 9 0 5 4 15", na, na, na, na
 dfid , topSpinCompact16_4 , "0 4 3 2 1 5 6 7 11 10 9 8 12 13 14 15", 2, 41, 3e-06, 1.36667e+07
 dfid , topSpinCompact16_4 , "11 3 5 2 12 0 8 9 7 6 14 4 1 10 13 15", na, na, na, na
 dfid , topSpinCompact16_4 , "8 5 9 14 12 13 6 7 11 10 1 3 4 2 0 15", na, na, na, na
 dfid , topSpinCompact16_4 , "0 13 6 7 5 10 11 1 9 12 8 3 4 14 2 15", na, na, na, na
 dfid , topSpinCompact16_4 , "14 6 12 1 10 0 9 2 5 8 13 7 4 11 3 15", na, na, na, na
 dfid , topSpinCompact16_4 , "9 8 6 1 2 4 5 10 14 13 12 11 7 3 0 15", 8, 16563737, 0.262958, 6.299e+07
 dfid , topSpinCompact16_4 , "14 6 7 10 9 2 8 4 5 3 1 13 12 11 0 15", 8, 49485719, 0.774083, 6.39282e+07
 dfid , topSpinCompact16_4 , "0 10 5 6 11 7 8 9 12 1 2 14 13 4 3 15", 10, 1177416773, 17.8803, 6.58501e+07
 dfid , topSpinCompact16_4 , "0 7 5 11 6 14 4 2 10 13 1 9 3 8 12 15", na, na, na, na
 dfid , topSpinCompact16_4 , "0 1 2 9 5 4 3 10 6 7 13 12 11 8 14 15", 4, 7626, 0.000142, 5.37042e+07
 dfid , topSpinCompact16_4 , "3 7 6 1 2 0 9 8 5 12 11 10 4 13 14 15", 6, 322960, 0.005078, 6.35998e+07
 dfid , topSpinCompact16_4 , "3 1 6 5 2 0 9 8 7 4 10 14 13 12 11 15", 6, 301042, 0.004898, 6.14622e+07
 dfid , topSpinCompact16_4 , "8 3 7 4 5 6 9 10 11 1 14 13 12 0 2 15", 8, 63422932, 0.927146, 6.84066e+07
 dfid , topSpinCompact16_4 , "13 14 7 2 3 4 6 5 11 10 0 1 12 8 9 15", 10, 3962977572, 62.0262, 6.3892e+07
 dfid , topSpinCompact16_4 , "10 11 12 5 14 2 1 0 6 7 3 9 13 4 8 15", 8, 15403141, 0.238186, 6.46685e+07
 dfid , topSpinCompact16_4 , "5 4 9 12 8 1 2 3 6 14 11 7 13 0 10 15", na, na, na, na
 dfid , topSpinCompact16_4 , "13 8 2 10 14 4 6 0 9 1 12 11 5 7 3 15", na, na, na, na
 dfid , topSpinCompact16_4 , "10 11 12 14 4 5 1 13 7 6 2 3 8 9 0 15", 6, 621558, 0.009425, 6.59478e+07
 dfid , topSpinCompact16_4 , "14 2 7 11 6 9 1 10 5 4 13 0 8 12 3 15", na, na, na, na
 dfid , topSpinCompact16_4 , "1 3 7 6 8 5 4 2 9 0 12 14 13 11 10 15", 8, 37770600, 0.578325, 6.53103e+07
 dfid , topSpinCompact16_4 , "3 2 1 0 12 5 6 7 11 10 4 8 9 13 14 15", 6, 180057, 0.003026, 5.95033e+07
 dfid , topSpinCompact16_4 , "0 12 13 14 4 3 2 1 8 7 6 5 9 10 11 15", 4, 2492, 4.7e-05, 5.30213e+07
 dfid , topSpinCompact16_4 , "0 1 2 3 7 6 5 9 10 11 4 14 13 12 8 15", 4, 11656, 0.000262, 4.44885e+07
 dfid , topSpinCompact16_4 , "11 1 14 8 3 0 2 5 6 9 13 4 7 12 10 15", na, na, na, na
 dfid , topSpinCompact16_4 , "0 4 3 6 7 2 1 5 8 9 10 14 13 12 11 15", 4, 8289, 0.000143, 5.7965e+07
 dfid , topSpinCompact16_4 , "3 5 4 12 10 8 9 11 13 1 14 0 7 2 6 15", na, na, na, na
 dfid , topSpinCompact16_4 , "8 0 13 3 9 11 2 1 5 10 12 14 6 7 4 15", na, na, na, na
 dfid , topSpinCompact16_4 , "1 2 12 7 6 8 4 14 13 11 0 9 5 10 3 15", na, na, na, na
 dfid , topSpinCompact16_4 , "0 1 5 4 3 11 7 6 2 10 13 12 8 9 14 15", 4, 9417, 0.000158, 5.96013e+07
 dfid , topSpinCompact16_4 , "14 2 3 4 7 11 10 5 6 9 8 12 13 1 0 15", 4, 8499, 0.000157, 5.41338e+07
 dfid , topSpinCompact16_4 , "3 2 1 0 8 9 13 12 4 5 6 7 11 10 14 15", 6, 196917, 0.002921, 6.74142e+07
 dfid , topSpinCompact16_4 , "0 8 14 4 3 6 11 10 2 12 5 1 13 9 7 15", na, na, na, na
 dfid , topSpinCompact16_4 , "8 5 12 11 9 10 13 0 1 3 7 6 2 4 14 15", 8, 29131734, 0.442785, 6.57921e+07
 dfid , topSpinCompact16_4 , "14 13 4 5 1 2 8 9 3 6 7 0 12 11 10 15", 6, 823779, 0.011858, 6.94703e+07
 dfid , topSpinCompact16_4 , "5 6 8 7 3 2 9 10 11 12 13 14 4 1 0 15", 4, 6265, 9.2e-05, 6.80978e+07
 dfid , topSpinCompact16_4 , "2 1 5 6 9 13 12 7 14 10 11 8 3 4 0 15", 6, 620109, 0.009442, 6.56756e+07
 dfid , topSpinCompact16_4 , "7 12 4 3 6 5 13 9 2 14 8 11 1 10 0 15", 8, 10675386, 0.161975, 6.59076e+07
 dfid , topSpinCompact16_4 , "3 4 12 11 6 5 8 7 10 9 13 14 2 1 0 15", 4, 5491, 9.4e-05, 5.84149e+07
 dfid , topSpinCompact16_4 , "14 13 5 1 0 3 2 9 8 7 6 10 11 12 4 15", 4, 12341, 0.000208, 5.93317e+07
 dfid , topSpinCompact16_4 , "0 3 14 11 12 2 1 13 4 5 6 7 8 9 10 15", 4, 4066, 8.5e-05, 4.78353e+07
 dfid , topSpinCompact16_4 , "0 4 5 1 2 3 6 13 9 8 7 12 11 10 14 15", 4, 5180, 9.3e-05, 5.56989e+07
