algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
A*, manhattan, 15puzzle,"7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14", 53, 41, 2293955, 0.745281, 3.07797e+06
A*, manhattan, 15puzzle," 14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3 ", na, 41, na, na, na
A*, manhattan, 15puzzle,"13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6", 55, 43, 4659313, 1.57028, 2.96718e+06
A*, manhattan, 15puzzle," 14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15 ", na, 41, na, na, na
A*, manhattan, 15puzzle,"5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6", 56, 42, 17921399, 6.4156, 2.79341e+06
A*, manhattan, 15puzzle,"4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B", 56, 42, 4681514, 1.61108, 2.90582e+06
A*, manhattan, 15puzzle,"14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13", 52, 36, 8462532, 3.06601, 2.76011e+06
A*, manhattan, 15puzzle,"2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B", 52, 30, 28263240, 9.92957, 2.84637e+06
A*, manhattan, 15puzzle,"12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7", 50, 32, 9435100, 3.30461, 2.85513e+06
A*, manhattan, 15puzzle,"3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B", 46, 32, 1421627, 0.434394, 3.27267e+06
A*, manhattan, 15puzzle," 13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1 ", na, 43, na, na, na
A*, manhattan, 15puzzle,"5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1", 57, 43, 13497348, 4.64586, 2.90524e+06
A*, manhattan, 15puzzle,"14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15", 45, 35, 317269, 0.108572, 2.9222e+06
A*, manhattan, 15puzzle,"3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7", 46, 36, 4456995, 1.55302, 2.86989e+06
A*, manhattan, 15puzzle," 7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12 ", na, 41, na, na, na
A*, manhattan, 15puzzle," 13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B ", na, 44, na, na, na
A*, manhattan, 15puzzle,"1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B", 42, 24, 3234606, 1.05415, 3.06845e+06
A*, manhattan, 15puzzle," 15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12 ", na, 46, na, na, na
A*, manhattan, 15puzzle,"6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13", 55, 43, 8650086, 3.15513, 2.7416e+06
