algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
IDA*, manhattan, 15puzzle,"7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14", 53, 41, 12434133, 0.457739, 2.71642e+07
IDA*, manhattan, 15puzzle,"14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3", 57, 41, 611486124, 21.8799, 2.79474e+07
IDA*, manhattan, 15puzzle,"13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6", 55, 43, 21083027, 0.747299, 2.82123e+07
IDA*, manhattan, 15puzzle,"14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15", 59, 41, 507918141, 18.1231, 2.80261e+07
IDA*, manhattan, 15puzzle,"5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6", 56, 42, 79710116, 2.85079, 2.79607e+07
IDA*, manhattan, 15puzzle,"4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B", 56, 42, 16120034, 0.593073, 2.71805e+07
IDA*, manhattan, 15puzzle,"14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13", 52, 36, 7594560, 0.29361, 2.58661e+07
IDA*, manhattan, 15puzzle,"2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B", 52, 30, 164339649, 5.90081, 2.78503e+07
IDA*, manhattan, 15puzzle,"12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7", 50, 32, 41100787, 1.48873, 2.76079e+07
IDA*, manhattan, 15puzzle,"3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B", 46, 32, 3436253, 0.12926, 2.6584e+07
IDA*, manhattan, 15puzzle,"13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1", 59, 43, 515323964, 18.3537, 2.80774e+07
IDA*, manhattan, 15puzzle,"5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1", 57, 43, 115247157, 4.14777, 2.77853e+07
IDA*, manhattan, 15puzzle,"14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15", 45, 35, 146545, 0.01284, 1.14132e+07
IDA*, manhattan, 15puzzle,"3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7", 46, 36, 8250673, 0.298363, 2.76531e+07
IDA*, manhattan, 15puzzle,"7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12", 59, 41, 727278414, 26.0249, 2.79454e+07
IDA*, manhattan, 15puzzle,"13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B", 62, 44, 246290869, 8.84092, 2.78581e+07
IDA*, manhattan, 15puzzle,"1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B", 42, 24, 7941928, 0.285378, 2.78295e+07
