algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
IDA*, PDB555, 15puzzle,"7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14", 53, 43, 2540590, 0.354533, 7.16602e+06
IDA*, PDB555, 15puzzle,"14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3", 57, 43, 78779061, 10.9158, 7.217e+06
IDA*, PDB555, 15puzzle,"13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6", 55, 43, 1141787, 0.157586, 7.24549e+06
IDA*, PDB555, 15puzzle,"14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15", 59, 41, 133006572, 17.9912, 7.39287e+06
IDA*, PDB555, 15puzzle,"5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6", 56, 42, 9309601, 1.26007, 7.38819e+06
IDA*, PDB555, 15puzzle,"4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B", 56, 42, 6109822, 0.830855, 7.35366e+06
IDA*, PDB555, 15puzzle,"14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13", 52, 36, 4176742, 0.577991, 7.22631e+06
IDA*, PDB555, 15puzzle,"2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B", 52, 34, 11302296, 1.56659, 7.21459e+06
IDA*, PDB555, 15puzzle,"12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7", 50, 32, 13742157, 1.89419, 7.2549e+06
IDA*, PDB555, 15puzzle,"3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B", 46, 36, 377412, 0.053896, 7.0026e+06
IDA*, PDB555, 15puzzle,"13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1", 59, 45, 81338566, 11.0977, 7.32931e+06
IDA*, PDB555, 15puzzle,"5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1", 57, 43, 27741253, 3.85252, 7.2008e+06
IDA*, PDB555, 15puzzle,"14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15", 45, 35, 79650, 0.011566, 6.88656e+06
IDA*, PDB555, 15puzzle,"3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7", 46, 36, 4315762, 0.579165, 7.4517e+06
