algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
WIDA*, PDB555, 2, 15puzzle,"7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14", 77, 86, 2182, 0.000567298, 3.8463e+06
WIDA*, PDB555, 2, 15puzzle,"14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3", 77, 86, 22960, 0.00492035, 4.66633e+06
WIDA*, PDB555, 2, 15puzzle,"13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6", 81, 86, 28385, 0.00646015, 4.39386e+06
WIDA*, PDB555, 2, 15puzzle,"14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15", 75, 82, 15390, 0.00316673, 4.8599e+06
WIDA*, PDB555, 2, 15puzzle,"5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6", 80, 84, 80454, 0.0177045, 4.54426e+06
WIDA*, PDB555, 2, 15puzzle,"4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B", 78, 84, 200840, 0.0383884, 5.23178e+06
WIDA*, PDB555, 2, 15puzzle,"14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13", 68, 72, 7711, 0.00177964, 4.3329e+06
WIDA*, PDB555, 2, 15puzzle,"2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B", 66, 68, 13272, 0.00266236, 4.98505e+06
WIDA*, PDB555, 2, 15puzzle,"12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7", 62, 64, 335593, 0.0638718, 5.25417e+06
WIDA*, PDB555, 2, 15puzzle,"3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B", 66, 72, 112992, 0.0225944, 5.00089e+06
WIDA*, PDB555, 2, 15puzzle,"13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1", 77, 90, 1452, 0.000372423, 3.89879e+06
WIDA*, PDB555, 2, 15puzzle,"5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1", 77, 86, 20431, 0.00417732, 4.89094e+06
WIDA*, PDB555, 2, 15puzzle,"14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15", 61, 70, 4656, 0.00117967, 3.94686e+06
WIDA*, PDB555, 2, 15puzzle,"3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7", 60, 72, 9039, 0.00176448, 5.12275e+06
WIDA*, PDB555, 2, 15puzzle,"7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12", 79, 86, 2000, 0.000485956, 4.1156e+06
