algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
WIDA*, manhattan, 1.5, 15puzzle,"7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14", 57, 61.5, 125644, 0.014106, 8.90711e+06
WIDA*, manhattan, 1.5, 15puzzle,"14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3", 61, 61.5, 3759339, 0.202049, 1.8606e+07
WIDA*, manhattan, 1.5, 15puzzle,"13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6", 61, 64.5, 277767, 0.0168605, 1.64744e+07
WIDA*, manhattan, 1.5, 15puzzle,"14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15", 63, 61.5, 9307823, 0.488285, 1.90623e+07
WIDA*, manhattan, 1.5, 15puzzle,"5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6", 62, 63, 669240, 0.0402371, 1.66324e+07
WIDA*, manhattan, 1.5, 15puzzle,"4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B", 60, 63, 155901, 0.00945587, 1.64872e+07
WIDA*, manhattan, 1.5, 15puzzle,"14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13", 56, 54, 235231, 0.0196778, 1.19541e+07
WIDA*, manhattan, 1.5, 15puzzle,"2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B", 54, 45, 1342899, 0.0750892, 1.78841e+07
WIDA*, manhattan, 1.5, 15puzzle,"12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7", 54, 48, 2859104, 0.147479, 1.93865e+07
WIDA*, manhattan, 1.5, 15puzzle,"3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B", 48, 48, 80258, 0.00856187, 9.37388e+06
WIDA*, manhattan, 1.5, 15puzzle,"13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1", 63, 64.5, 271814, 0.0213588, 1.27261e+07
WIDA*, manhattan, 1.5, 15puzzle,"5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1", 59, 64.5, 8278, 0.00164103, 5.04438e+06
WIDA*, manhattan, 1.5, 15puzzle,"14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15", 51, 52.5, 15444, 0.00293612, 5.26e+06
WIDA*, manhattan, 1.5, 15puzzle,"3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7", 50, 54, 929132, 0.0587295, 1.58205e+07
WIDA*, manhattan, 1.5, 15puzzle,"7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12", 63, 61.5, 101036414, 5.22871, 1.93234e+07
WIDA*, manhattan, 1.5, 15puzzle,"13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B", 66, 66, 564908, 0.0381922, 1.47912e+07
WIDA*, manhattan, 1.5, 15puzzle,"1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B", 46, 36, 2502730, 0.130343, 1.92011e+07
