algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
WIDA*, manhattan, 2, 15puzzle,"7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14", 71, 82, 262274, 0.0193195, 1.35756e+07
WIDA*, manhattan, 2, 15puzzle,"14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3", 73, 82, 1932602, 0.109106, 1.77131e+07
WIDA*, manhattan, 2, 15puzzle,"13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6", 79, 86, 127206, 0.0071945, 1.7681e+07
WIDA*, manhattan, 2, 15puzzle,"14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15", 77, 82, 347821, 0.0209248, 1.66224e+07
WIDA*, manhattan, 2, 15puzzle,"5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6", 80, 84, 1532427, 0.086574, 1.77008e+07
WIDA*, manhattan, 2, 15puzzle,"4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B", 76, 84, 480798, 0.0359532, 1.33729e+07
WIDA*, manhattan, 2, 15puzzle,"14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13", 68, 72, 4430, 0.000596321, 7.42888e+06
WIDA*, manhattan, 2, 15puzzle,"2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B", 56, 60, 250968, 0.0143029, 1.75466e+07
WIDA*, manhattan, 2, 15puzzle,"12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7", 62, 64, 709336, 0.0425322, 1.66776e+07
WIDA*, manhattan, 2, 15puzzle,"3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B", 58, 64, 20690, 0.00264017, 7.83663e+06
WIDA*, manhattan, 2, 15puzzle,"13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1", 75, 86, 47548, 0.00388098, 1.22516e+07
WIDA*, manhattan, 2, 15puzzle,"5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1", 77, 86, 81388, 0.0115686, 7.03526e+06
WIDA*, manhattan, 2, 15puzzle,"14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15", 65, 70, 1911, 0.000387906, 4.92645e+06
WIDA*, manhattan, 2, 15puzzle,"3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7", 62, 72, 1669, 0.000163909, 1.01825e+07
WIDA*, manhattan, 2, 15puzzle,"7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12", 75, 82, 2793155, 0.148524, 1.88061e+07
WIDA*, manhattan, 2, 15puzzle,"13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B", 84, 88, 37217, 0.00688019, 5.4093e+06
WIDA*, manhattan, 2, 15puzzle,"1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B", 48, 48, 678389, 0.0418891, 1.61949e+07
WIDA*, manhattan, 2, 15puzzle,"15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12", 86, 92, 109944, 0.00697775, 1.57564e+07
WIDA*, manhattan, 2, 15puzzle,"6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13", 81, 86, 39450, 0.00609638, 6.47106e+06
WIDA*, manhattan, 2, 15puzzle,"7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10", 64, 72, 9878, 0.00211829, 4.66319e+06
WIDA*, manhattan, 2, 15puzzle,"6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B", 70, 72, 23289, 0.00248543, 9.37019e+06
WIDA*, manhattan, 2, 15puzzle,"12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2", 58, 68, 17997, 0.00308428, 5.83508e+06
WIDA*, manhattan, 2, 15puzzle,"14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6", 73, 82, 3809, 0.00040018, 9.51822e+06
WIDA*, manhattan, 2, 15puzzle,"10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12", 57, 66, 85688, 0.00717325, 1.19455e+07
WIDA*, manhattan, 2, 15puzzle,"7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B", 60, 68, 6657, 0.000994793, 6.69184e+06
WIDA*, manhattan, 2, 15puzzle,"11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12", 56, 64, 5541, 0.000844999, 6.5574e+06
WIDA*, manhattan, 2, 15puzzle,"5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11", 68, 80, 580851, 0.0336921, 1.724e+07
WIDA*, manhattan, 2, 15puzzle,"14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11", 59, 66, 70902, 0.00970569, 7.3052e+06
WIDA*, manhattan, 2, 15puzzle,"13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7", 68, 72, 6829, 0.00128468, 5.31574e+06
WIDA*, manhattan, 2, 15puzzle,"9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12", 70, 76, 350903, 0.0194401, 1.80505e+07
WIDA*, manhattan, 2, 15puzzle,"12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11", 59, 70, 6977, 0.0013125, 5.31579e+06
WIDA*, manhattan, 2, 15puzzle,"12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10", 68, 76, 17756, 0.00332562, 5.33916e+06
